Maine Senate - District 1,,,,Maine House of Representatives - District 1,,
,,,,,,
,,,,Maine House of Representatives - District 134,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Elizabeth A Jordan,No response
,,,,D,Traci Gere,Answers
,,,,,,
,,,,Maine House of Representatives - District 135,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Daniel Sayre,Answers
,,,,R,Jared Hayes Hirshfield,No response
,,,,,,
,,,,Maine House of Representatives - District 136,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Heidi H Sampson,No response
,,,,D,Joe Wagner,Answers
,,,,,,
,,,,Maine House of Representatives - District 137,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Nathan M Carlow,No response
,,,,D,Robert W Faucher,Answers
,,,,,,
,,,,Maine House of Representatives - District 138,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Mark John Blier,No response
,,,,U,Michael T Barden III,Answers
,,,,,,
,,,,Maine House of Representatives - District 139,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,David Woodsome,No response
,,,,D,Nancy Germaine Piche,No response
,,,,,,
,,,,Maine House of Representatives - District 140,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Kirstan Lee Watson,No response
,,,,R,Wayne Parry,No response
,,,,,,
,,,,Maine House of Representatives - District 141,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,John McAdam,Answers
,,,,R,Lucas John Lanigan,No response
,,,,,,
,,,,Maine House of Representatives - District 142,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Anne-Marie Mastraccio,Answers
,,,,R,Pamela Diane Buck,No response
,,,,,,
,,,,Maine House of Representatives - District 143,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,AnnMarie Fredericks,No response
,,,,D,Wesley John Davie,No response
,,,,,,
,,,,Maine House of Representatives - District 144,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Daniel Norwood,No response
,,,,R,Jeffrey Sean Adams,No response
,,,,,,
,,,,Maine House of Representatives - District 145,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Daniel J. Hobbs,No response
,,,,R,Timothy M Roche,No response
,,,,,,
,,,,Maine House of Representatives - District 146,,
,,,,,,
