,Party,Polarization,Unanimity,Yes polarization,Republican yes votes,Republican no votes,Democratic yes votes,Democratic no votes,Republican yes,Democratic yes,Party polarization,Title,title_w_breaks,Date,Session,Key,Democratic votes yes/no,Republican votes yes/no
1998,Democratic,-1.0,1.0,-1.0,0,11,22,0,0.0,1.0,-1.0,An Act To Enact The Campus Free Speech And Free Press Act,An Act To Enact The Campus<br>Free Speech And Free Press Act,2021-06-09,130,e1cc7104-b3b3-477d-93b0-64c2b6caf13a,22/0,0/11
2002,Democratic,-1.0,1.0,-1.0,0,12,21,0,0.0,1.0,-1.0,An Act To Include Grandparents Under Maine's Family Medical Leave Laws,An Act To Include Grandparents<br>Under Maine's Family Medical<br>Leave Laws,2021-06-09,130,186bb64b-ba02-4481-8aa9-52b1c53ef811,21/0,0/12
2462,Democratic,-1.0,1.0,-1.0,0,12,21,0,0.0,1.0,-1.0,"An Act To Promote Equity In Policy Making By Enhancing The State's Ability To Collect, Analyze And Apply Data","An Act To Promote Equity In<br>Policy Making By Enhancing The<br>State's Ability To Collect,<br>Analyze And Apply Data",2022-03-29,130,b3a385e1-cd3f-45bc-a415-7be0d08f44e2,21/0,0/12
2498,Democratic,-1.0,1.0,-1.0,0,13,21,0,0.0,1.0,-1.0,An Act To Remove A Requirement Regarding Payment Of Union Fees,An Act To Remove A Requirement<br>Regarding Payment Of Union<br>Fees,2021-06-03,130,7e0cf44c-a815-4076-943d-da1ebd07fa80,21/0,0/13
2488,Democratic,-1.0,1.0,-1.0,0,53,75,0,0.0,1.0,-1.0,An Act To Amend The Laws Governing Elections,An Act To Amend The Laws<br>Governing Elections,2021-06-09,130,a88e7da2-4ba2-4a5c-ae14-53b40397b186,75/0,0/53
2492,Democratic,-1.0,1.0,-1.0,0,13,22,0,0.0,1.0,-1.0,"An Act To Protect Maine Businesses, Nonprofits, Educational Institutions And Municipalities During The Covid-19 Pandemic","An Act To Protect Maine<br>Businesses, Nonprofits,<br>Educational Institutions And<br>Municipalities During The<br>Covid-19 Pandemic",2021-06-16,130,77216854-96f3-4d83-af42-1d2c60552697,22/0,0/13
2574,Democratic,-1.0,1.0,-1.0,0,57,73,0,0.0,1.0,-1.0,An Act To Prevent Tax Haven Abuse,An Act To Prevent Tax Haven<br>Abuse,2022-04-07,130,658ab3e4-e1d4-4ace-9954-85bffb5b0806,73/0,0/57
2496,Democratic,-1.0,1.0,-1.0,0,12,22,0,0.0,1.0,-1.0,An Act Directing The Maine State Housing Authority To Create A Commission To Develop A Comprehensive Rental Registry For Multifamily Housing,An Act Directing The Maine<br>State Housing Authority To<br>Create A Commission To Develop<br>A Comprehensive Rental<br>Registry For Multifamily<br>Housing,2021-06-07,130,f919a598-0130-4671-9220-0ad29168eca1,22/0,0/12
2084,Democratic,-1.0,1.0,-1.0,0,13,21,0,0.0,1.0,-1.0,An Act To Support Universal Health Care,An Act To Support Universal<br>Health Care,2021-06-16,130,ec4dab5a-9f17-45b4-bf65-35aa4650c560,21/0,0/13
2440,Democratic,-1.0,1.0,-1.0,0,13,21,0,0.0,1.0,-1.0,An Act To Amend The Enforcement Provisions Of The Law Governing Earned Paid Leave,An Act To Amend The<br>Enforcement Provisions Of The<br>Law Governing Earned Paid<br>Leave,2022-03-22,130,88937c54-a51b-4857-930f-646bede5938b,21/0,0/13
